c,idnew,trtid4,geoid10
6,821,06037242700,"06037242700"
6,822,06037243000,"06037243000"
6,823,06037243100,"06037243100"
11,824,06037261101,"06037261101"
11,825,06037261102,"06037261102"
11,826,06037261200,"06037261200"
11,827,06037262100,"06037262100"
11,828,06037262200,"06037262200"
11,829,06037262301,"06037262301"
11,830,06037262302,"06037262302"
11,831,06037262303,"06037262303"
11,832,06037262400,"06037262400"
11,833,06037262501,"06037262501"
11,834,06037262601,"06037262601"
11,835,06037262604,"06037262604"
11,836,06037262704,"06037262704"
11,837,06037262706,"06037262706"
11,838,06037262802,"06037262802"
11,839,06037264000,"06037264000"
11,840,06037264102,"06037264102"
11,841,06037264103,"06037264103"
11,842,06037264301,"06037264301"
11,843,06037264302,"06037264302"
11,844,06037265100,"06037265100"
9,845,06037265201,"06037265201"
9,846,06037265202,"06037265202"
9,847,06037265301,"06037265301"
8,848,06037265303,"06037265303"
9,849,06037265304,"06037265304"
9,850,06037265305,"06037265305"
11,851,06037265410,"06037265410"
11,852,06037265420,"06037265420"
8,853,06037265510,"06037265510"
9,854,06037265520,"06037265520"
9,855,06037265601,"06037265601"
11,856,06037265602,"06037265602"
11,857,06037265700,"06037265700"
11,858,06037267100,"06037267100"
9,859,06037267200,"06037267200"
11,860,06037267300,"06037267300"
9,861,06037267402,"06037267402"
9,862,06037267403,"06037267403"
9,863,06037267404,"06037267404"
11,864,06037267501,"06037267501"
11,865,06037267502,"06037267502"
11,866,06037267600,"06037267600"
10,867,06037267700,"06037267700"
11,868,06037267800,"06037267800"
11,869,06037267901,"06037267901"
11,870,06037267902,"06037267902"
11,871,06037269000,"06037269000"
11,872,06037269100,"06037269100"
11,873,06037269300,"06037269300"
11,874,06037269500,"06037269500"
5,875,06037269601,"06037269601"
5,876,06037269602,"06037269602"
7,877,06037269700,"06037269700"
9,878,06037269800,"06037269800"
9,879,06037269903,"06037269903"
9,880,06037269904,"06037269904"
9,881,06037269905,"06037269905"
9,882,06037269906,"06037269906"
9,883,06037269907,"06037269907"
9,884,06037270100,"06037270100"
4,885,06037270200,"06037270200"
1,886,06037270300,"06037270300"
9,887,06037271100,"06037271100"
9,888,06037271200,"06037271200"
9,889,06037271300,"06037271300"
11,890,06037271400,"06037271400"
11,891,06037271500,"06037271500"
9,892,06037271600,"06037271600"
9,893,06037271701,"06037271701"
9,894,06037271702,"06037271702"
9,895,06037271801,"06037271801"
9,896,06037271802,"06037271802"
9,897,06037271901,"06037271901"
11,898,06037271902,"06037271902"
11,899,06037272100,"06037272100"
11,900,06037272201,"06037272201"
7,901,06037272202,"06037272202"
11,902,06037272301,"06037272301"
7,903,06037272302,"06037272302"
11,904,06037273100,"06037273100"
10,905,06037273200,"06037273200"
10,906,06037273300,"06037273300"
11,907,06037273402,"06037273402"
11,908,06037273502,"06037273502"
10,909,06037273600,"06037273600"
10,910,06037273700,"06037273700"
11,911,06037273800,"06037273800"
11,912,06037273902,"06037273902"
10,913,06037274100,"06037274100"
11,914,06037274202,"06037274202"
10,915,06037275101,"06037275101"
4,916,06037275102,"06037275102"
10,917,06037275200,"06037275200"
11,918,06037275302,"06037275302"
11,919,06037275311,"06037275311"
10,920,06037275400,"06037275400"
4,921,06037275500,"06037275500"
10,922,06037275602,"06037275602"
11,923,06037275603,"06037275603"
9,924,06037276000,"06037276000"
3,925,06037276100,"06037276100"
9,926,06037276400,"06037276400"
9,927,06037276500,"06037276500"
11,928,06037276601,"06037276601"
9,929,06037276603,"06037276603"
9,930,06037276604,"06037276604"
9,931,06037277000,"06037277000"
9,932,06037277100,"06037277100"
7,933,06037277200,"06037277200"
3,934,06037277400,"06037277400"
9,935,06037278001,"06037278001"
11,936,06037278102,"06037278102"
4,937,06037291110,"06037291110"
4,938,06037291120,"06037291120"
6,939,06037291130,"06037291130"
4,940,06037291210,"06037291210"
4,941,06037291220,"06037291220"
9,942,06037291300,"06037291300"
7,943,06037292000,"06037292000"
7,944,06037293201,"06037293201"
7,945,06037293202,"06037293202"
9,946,06037293301,"06037293301"
7,947,06037293302,"06037293302"
7,948,06037293304,"06037293304"
7,949,06037293306,"06037293306"
7,950,06037293307,"06037293307"
4,951,06037294110,"06037294110"
4,952,06037294120,"06037294120"
4,953,06037294200,"06037294200"
4,954,06037294301,"06037294301"
4,955,06037294302,"06037294302"
10,956,06037294410,"06037294410"
4,957,06037294421,"06037294421"
4,958,06037294510,"06037294510"
4,959,06037294520,"06037294520"
4,960,06037294610,"06037294610"
4,961,06037294620,"06037294620"
4,962,06037294701,"06037294701"
4,963,06037294810,"06037294810"
4,964,06037294820,"06037294820"
4,965,06037294830,"06037294830"
4,966,06037294900,"06037294900"
11,967,06037295103,"06037295103"
4,968,06037296210,"06037296210"
4,969,06037296220,"06037296220"
11,970,06037296300,"06037296300"
11,971,06037296401,"06037296401"
11,972,06037296402,"06037296402"
4,973,06037296500,"06037296500"
4,974,06037296600,"06037296600"
7,975,06037296901,"06037296901"
7,976,06037296902,"06037296902"
11,977,06037297000,"06037297000"
4,978,06037297110,"06037297110"
4,979,06037297120,"06037297120"
7,980,06037297201,"06037297201"
11,981,06037297202,"06037297202"
11,982,06037297300,"06037297300"
11,983,06037297400,"06037297400"
11,984,06037297500,"06037297500"
11,985,06037297601,"06037297601"
11,986,06037297602,"06037297602"
9,987,06037300100,"06037300100"
9,988,06037300200,"06037300200"
9,989,06037300301,"06037300301"
9,990,06037300400,"06037300400"
9,991,06037300501,"06037300501"
9,992,06037300502,"06037300502"
9,993,06037300600,"06037300600"
9,994,06037300701,"06037300701"
9,995,06037300702,"06037300702"
9,996,06037300800,"06037300800"
9,997,06037300901,"06037300901"
9,998,06037300902,"06037300902"
9,999,06037301000,"06037301000"
9,1000,06037301100,"06037301100"
9,1001,06037301203,"06037301203"
9,1002,06037301204,"06037301204"
9,1003,06037301205,"06037301205"
9,1004,06037301206,"06037301206"
11,1005,06037301300,"06037301300"
11,1006,06037301400,"06037301400"
9,1007,06037301501,"06037301501"
9,1008,06037301502,"06037301502"
10,1009,06037301601,"06037301601"
9,1010,06037301602,"06037301602"
9,1011,06037301701,"06037301701"
9,1012,06037301702,"06037301702"
9,1013,06037301801,"06037301801"
9,1014,06037301802,"06037301802"
9,1015,06037301900,"06037301900"
9,1016,06037302002,"06037302002"
9,1017,06037302003,"06037302003"
9,1018,06037302004,"06037302004"
9,1019,06037302102,"06037302102"
9,1020,06037302103,"06037302103"
9,1021,06037302104,"06037302104"
10,1022,06037302201,"06037302201"
11,1023,06037302202,"06037302202"
9,1024,06037302301,"06037302301"
9,1025,06037302302,"06037302302"
10,1026,06037302401,"06037302401"
11,1027,06037302503,"06037302503"
11,1028,06037302504,"06037302504"
11,1029,06037302505,"06037302505"
11,1030,06037302506,"06037302506"
9,1031,06037310100,"06037310100"
9,1032,06037310201,"06037310201"
9,1033,06037310202,"06037310202"
9,1034,06037310300,"06037310300"
9,1035,06037310400,"06037310400"
4,1036,06037310501,"06037310501"
9,1037,06037310601,"06037310601"
9,1038,06037310602,"06037310602"
9,1039,06037310701,"06037310701"
9,1040,06037310702,"06037310702"
9,1041,06037310703,"06037310703"
11,1042,06037310800,"06037310800"
11,1043,06037310900,"06037310900"
7,1044,06037311000,"06037311000"
7,1045,06037311100,"06037311100"
7,1046,06037311200,"06037311200"
11,1047,06037311300,"06037311300"
11,1048,06037311400,"06037311400"
11,1049,06037311500,"06037311500"
11,1050,06037311600,"06037311600"
11,1051,06037311700,"06037311700"
11,1052,06037311801,"06037311801"
11,1053,06037311802,"06037311802"
5,1054,06037320100,"06037320100"
4,1055,06037320201,"06037320201"
4,1056,06037320202,"06037320202"
4,1057,06037320300,"06037320300"
11,1058,06037400204,"06037400204"
9,1059,06037400205,"06037400205"
9,1060,06037400206,"06037400206"
11,1061,06037400207,"06037400207"
11,1062,06037400302,"06037400302"
11,1063,06037400304,"06037400304"
11,1064,06037400402,"06037400402"
11,1065,06037400403,"06037400403"
11,1066,06037400404,"06037400404"
11,1067,06037400501,"06037400501"
4,1068,06037400602,"06037400602"
9,1069,06037400603,"06037400603"
9,1070,06037400604,"06037400604"
11,1071,06037400800,"06037400800"
11,1072,06037400900,"06037400900"
11,1073,06037401001,"06037401001"
11,1074,06037401002,"06037401002"
7,1075,06037401101,"06037401101"
11,1076,06037401102,"06037401102"
11,1077,06037401201,"06037401201"
11,1078,06037401202,"06037401202"
7,1079,06037401203,"06037401203"
9,1080,06037401303,"06037401303"
9,1081,06037401304,"06037401304"
11,1082,06037401311,"06037401311"
11,1083,06037401312,"06037401312"
11,1084,06037401500,"06037401500"
11,1085,06037401601,"06037401601"
7,1086,06037401602,"06037401602"
11,1087,06037401603,"06037401603"
11,1088,06037401701,"06037401701"
9,1089,06037401703,"06037401703"
5,1090,06037401704,"06037401704"
11,1091,06037401800,"06037401800"
9,1092,06037401901,"06037401901"
11,1093,06037401902,"06037401902"
7,1094,06037402001,"06037402001"
7,1095,06037402002,"06037402002"
6,1096,06037402101,"06037402101"
5,1097,06037402102,"06037402102"
7,1098,06037402200,"06037402200"
5,1099,06037402301,"06037402301"
5,1100,06037402303,"06037402303"
5,1101,06037402304,"06037402304"
7,1102,06037402402,"06037402402"
9,1103,06037402403,"06037402403"
9,1104,06037402404,"06037402404"
6,1105,06037402405,"06037402405"
6,1106,06037402406,"06037402406"
4,1107,06037402501,"06037402501"
4,1108,06037402502,"06037402502"
5,1109,06037402600,"06037402600"
5,1110,06037402702,"06037402702"
5,1111,06037402703,"06037402703"
5,1112,06037402705,"06037402705"
5,1113,06037402706,"06037402706"
4,1114,06037402801,"06037402801"
4,1115,06037402803,"06037402803"
4,1116,06037402804,"06037402804"
4,1117,06037402902,"06037402902"
5,1118,06037402903,"06037402903"
5,1119,06037402904,"06037402904"
6,1120,06037403000,"06037403000"
10,1121,06037403200,"06037403200"
9,1122,06037403303,"06037403303"
8,1123,06037403304,"06037403304"
8,1124,06037403305,"06037403305"
9,1125,06037403312,"06037403312"
9,1126,06037403316,"06037403316"
9,1127,06037403317,"06037403317"
9,1128,06037403318,"06037403318"
8,1129,06037403319,"06037403319"
8,1130,06037403320,"06037403320"
8,1131,06037403321,"06037403321"
8,1132,06037403322,"06037403322"
8,1133,06037403323,"06037403323"
8,1134,06037403324,"06037403324"
8,1135,06037403325,"06037403325"
8,1136,06037403401,"06037403401"
8,1137,06037403402,"06037403402"
8,1138,06037403403,"06037403403"
8,1139,06037403404,"06037403404"
8,1140,06037403405,"06037403405"
8,1141,06037403406,"06037403406"
8,1142,06037403407,"06037403407"
8,1143,06037403408,"06037403408"
9,1144,06037403500,"06037403500"
7,1145,06037403600,"06037403600"
7,1146,06037403702,"06037403702"
7,1147,06037403703,"06037403703"
7,1148,06037403721,"06037403721"
7,1149,06037403722,"06037403722"
7,1150,06037403801,"06037403801"
